1962,Actor -- Supporting Role,Ed Begley
1962,Actress -- Leading Role,Anne Bancroft
1962,Actress -- Supporting Role,Patty Duke
1963,Actor -- Leading Role,Sidney Poitier
1963,Actor -- Supporting Role,Melvyn Douglas
1963,Actress -- Leading Role,Patricia Neal
1963,Actress -- Supporting Role,Margaret Rutherford
1964,Actor -- Leading Role,Rex Harrison
1964,Actor -- Supporting Role,Peter Ustinov
1964,Actress -- Leading Role,Julie Andrews
1964,Actress -- Supporting Role,Lila Kedrova
1965,Actor -- Leading Role,Lee Marvin
1965,Actor -- Supporting Role,Martin Balsam
1965,Actress -- Leading Role,Julie Christie
1965,Actress -- Supporting Role,Shelley Winters
1966,Actor -- Leading Role,Paul Scofield
1966,Actor -- Supporting Role,Walter Matthau
1966,Actress -- Leading Role,Elizabeth Taylor
1966,Actress -- Supporting Role,Sandy Dennis
1967,Actor -- Leading Role,Rod Steiger
1967,Actor -- Supporting Role,George Kennedy
1967,Actress -- Leading Role,Katharine Hepburn
1967,Actress -- Supporting Role,Estelle Parsons
1968,Actor -- Leading Role,Cliff Robertson
1968,Actor -- Supporting Role,Jack Albertson
1968,Actress -- Leading Role,Katharine Hepburn
1968,Actress -- Leading Role,Barbra Streisand
1968,Actress -- Supporting Role,Ruth Gordon
1969,Actor -- Leading Role,John Wayne
1969,Actor -- Supporting Role,Gig Young
1969,Actress -- Leading Role,Maggie Smith
1969,Actress -- Supporting Role,Goldie Hawn
1970,Actor -- Leading Role,George C. Scott
1970,Actor -- Supporting Role,John Mills
1970,Actress -- Leading Role,Glenda Jackson
1970,Actress -- Supporting Role,Helen Hayes
1971,Actor -- Leading Role,Gene Hackman
1971,Actor -- Supporting Role,Ben Johnson
1971,Actress -- Leading Role,Jane Fonda
1971,Actress -- Supporting Role,Cloris Leachman
1972,Actor -- Leading Role,Marlon Brando
1972,Actor -- Supporting Role,Joel Grey
1972,Actress -- Leading Role,Liza Minnelli
1972,Actress -- Supporting Role,Eileen Heckart
1973,Actor -- Leading Role,Jack Lemmon
1973,Actor -- Supporting Role,John Houseman
1973,Actress -- Leading Role,Glenda Jackson
1973,Actress -- Supporting Role,Tatum O'Neal
1974,Actor -- Leading Role,Art Carney
1974,Actor -- Supporting Role,Robert De Niro
1974,Actress -- Leading Role,Ellen Burstyn
1974,Actress -- Supporting Role,Ingrid Bergman
1975,Actor -- Leading Role,Jack Nicholson
1975,Actor -- Supporting Role,George Burns
1975,Actress -- Leading Role,Louise Fletcher
1975,Actress -- Supporting Role,Lee Grant
1976,Actor -- Leading Role,Peter Finch
1976,Actor -- Supporting Role,Jason Robards
1976,Actress -- Leading Role,Faye Dunaway
1976,Actress -- Supporting Role,Beatrice Straight
1977,Actor -- Leading Role,Richard Dreyfuss
1977,Actor -- Supporting Role,Jason Robards
1977,Actress -- Leading Role,Diane Keaton
1977,Actress -- Supporting Role,Vanessa Redgrave
1978,Actor -- Leading Role,Jon Voight
1978,Actor -- Supporting Role,Christopher Walken
1978,Actress -- Leading Role,Jane Fonda
1978,Actress -- Supporting Role,Maggie Smith
1979,Actor -- Leading Role,Dustin Hoffman
1979,Actor -- Supporting Role,Melvyn Douglas
1979,Actress -- Leading Role,Sally Field
1979,Actress -- Supporting Role,Meryl Streep
1980,Actor -- Leading Role,Robert De Niro
1980,Actor -- Supporting Role,Timothy Hutton
1980,Actress -- Leading Role,Sissy Spacek
1980,Actress -- Supporting Role,Mary Steenburgen
1981,Actor -- Leading Role,Henry Fonda
1981,Actor -- Supporting Role,John Gielgud
1981,Actress -- Leading Role,Katharine Hepburn
1981,Actress -- Supporting Role,Maureen Stapleton
1982,Actor -- Leading Role,Ben Kingsley
1982,Actor -- Supporting Role,Louis Gossett, Jr.
1982,Actress -- Leading Role,Meryl Streep
1982,Actress -- Supporting Role,Jessica Lange
1983,Actor -- Leading Role,Robert Duvall
1983,Actor -- Supporting Role,Jack Nicholson
1983,Actress -- Leading Role,Shirley MacLaine
1983,Actress -- Supporting Role,Linda Hunt
1984,Actor -- Leading Role,F. Murray Abraham
1984,Actor -- Supporting Role,Haing S. Ngor
1984,Actress -- Leading Role,Sally Field
1984,Actress -- Supporting Role,Peggy Ashcroft
1985,Actor -- Leading Role,William Hurt
1985,Actor -- Supporting Role,Don Ameche
1985,Actress -- Leading Role,Geraldine Page
1985,Actress -- Supporting Role,Anjelica Huston
1986,Actor -- Leading Role,Paul Newman
1986,Actor -- Supporting Role,Michael Caine
1986,Actress -- Leading Role,Marlee Matlin
1986,Actress -- Supporting Role,Dianne Wiest
1987,Actor -- Leading Role,Michael Douglas
1987,Actor -- Supporting Role,Sean Connery
1987,Actress -- Leading Role,Cher
1987,Actress -- Supporting Role,Olympia Dukakis
1988,Actor -- Leading Role,Dustin Hoffman
1988,Actor -- Supporting Role,Kevin Kline
1988,Actress -- Leading Role,Jodie Foster
1988,Actress -- Supporting Role,Geena Davis
1989,Actor -- Leading Role,Daniel Day Lewis
1989,Actor -- Supporting Role,Denzel Washington
1989,Actress -- Leading Role,Jessica Tandy
1989,Actress -- Supporting Role,Brenda Fricker
1990,Actor -- Leading Role,Jeremy Irons
1990,Actor -- Supporting Role,Joe Pesci
1990,Actress -- Leading Role,Kathy Bates
1990,Actress -- Supporting Role,Whoopi Goldberg
1991,Actor -- Leading Role,Anthony Hopkins
1991,Actor -- Supporting Role,Jack Palance
1991,Actress -- Leading Role,Jodie Foster
1991,Actress -- Supporting Role,Mercedes Ruehl
